,player,season,as,played_for,pos_1,pos_2,all_nba_team_label,2p,3p,ft,trb,ast,stl,blk,2p%,ws,ortg,per,blk%,usg%
949,Kris Dunn,2017-18,0,1,G,NA,NA,4.7,0.8,1.6,4.3,6.0,2.0,0.5,45.7,0.9,96,14.5,1.6,24.7
950,Kevin Durant,2017-18,1,1,F,G,first,6.7,2.5,5.3,6.8,5.4,0.7,1.8,56.49999999999999,10.4,119,26.0,4.0,30.4
951,Joel Embiid,2017-18,1,1,C,NA,second,7.0,1.0,5.7,11.0,3.2,0.6,1.8,52.7,6.2,106,22.9,4.8,33.4
952,Derrick Favors,2017-18,0,1,F,C,NA,4.9,0.2,1.8,7.2,1.3,0.7,1.1,59.599999999999994,8.0,119,18.8,3.2,18.5
953,Evan Fournier,2017-18,0,1,G,F,NA,4.2,2.2,2.6,3.2,2.9,0.8,0.3,51.6,3.3,110,15.5,0.7,23.3
954,De'Aaron Fox,2017-18,0,1,G,NA,NA,3.8,0.6,1.9,2.8,4.4,1.0,0.3,43.6,-0.6,94,11.2,0.9,23.4
955,Marc Gasol,2017-18,0,1,C,NA,NA,4.5,1.5,3.8,8.1,4.2,0.7,1.4,45.6,4.0,104,17.4,3.9,25.6
956,Pau Gasol,2017-18,0,1,C,F,NA,3.2,0.6,2.1,8.0,3.1,0.3,1.0,48.1,6.0,112,18.9,3.6,20.4
957,Paul George,2017-18,1,1,F,G,third,4.2,3.1,4.3,5.7,3.3,2.0,0.5,45.4,8.9,112,18.7,1.2,25.7
958,Taj Gibson,2017-18,0,1,F,C,NA,5.1,0.1,1.7,7.1,1.2,0.8,0.7,59.5,7.2,123,15.4,1.9,14.7
959,Rudy Gobert,2017-18,0,1,C,NA,NA,4.9,0.0,3.6,10.7,1.4,0.8,2.3,62.2,8.1,122,20.7,6.0,16.9
960,Aaron Gordon,2017-18,0,1,F,NA,NA,4.5,2.0,2.7,7.9,2.3,1.0,0.8,49.7,2.9,103,16.5,1.9,24.7
961,Marcin Gortat,2017-18,0,1,C,F,NA,3.5,0.0,1.3,7.6,1.8,0.5,0.7,51.800000000000004,4.9,112,14.7,2.6,15.5
962,Danny Green,2017-18,0,1,G,F,NA,1.4,1.7,0.7,3.6,1.6,0.9,1.1,41.9,2.9,100,11.4,3.7,16.6
963,Draymond Green,2017-18,1,1,F,NA,NA,2.9,1.1,1.9,7.6,7.3,1.4,1.3,56.2,6.1,110,16.1,3.1,17.2
964,JaMychal Green,2017-18,0,1,F,NA,NA,3.3,0.8,1.5,8.4,1.4,0.6,0.5,49.9,2.6,108,14.0,1.5,17.8
965,Blake Griffin,2017-18,0,2,F,C,NA,5.6,1.9,4.5,7.4,5.8,0.7,0.3,48.199999999999996,4.9,109,19.6,0.8,28.9
966,Tim Hardaway Jr.,2017-18,0,1,G,NA,NA,4.0,2.3,2.6,3.9,2.7,1.1,0.2,51.6,2.6,106,14.4,0.5,23.8
967,James Harden,2017-18,1,1,G,NA,first,5.4,3.7,8.7,5.4,8.8,1.8,0.7,53.1,15.4,120,29.8,1.7,36.1
968,Maurice Harkless,2017-18,0,1,F,G,NA,1.7,0.8,0.7,2.7,0.9,0.8,0.7,54.7,3.2,117,12.6,2.8,12.6
969,Andrew Harrison,2017-18,0,1,G,NA,NA,2.4,0.8,2.2,2.3,3.2,0.7,0.5,46.7,1.7,106,12.7,1.8,19.6
970,Gary Harris,2017-18,0,1,G,NA,NA,4.2,2.3,2.0,2.6,2.9,1.8,0.2,55.300000000000004,5.5,115,16.5,0.5,20.7
971,Tobias Harris,2017-18,0,2,F,NA,NA,4.7,2.3,2.2,5.5,2.4,0.9,0.4,48.8,6.7,112,17.1,1.1,23.3
972,John Henson,2017-18,0,1,C,F,NA,3.8,0.0,1.2,6.8,1.5,0.6,1.4,57.8,4.9,115,15.7,4.7,15.0
973,George Hill,2017-18,0,2,G,NA,NA,2.3,1.3,1.6,2.7,2.8,0.9,0.4,49.0,3.2,113,13.3,1.3,16.3
974,Jrue Holiday,2017-18,0,1,G,NA,NA,6.1,1.5,2.3,4.5,6.0,1.5,0.8,55.7,7.1,110,17.8,1.7,23.1
975,Justin Holiday,2017-18,0,1,F,NA,NA,1.8,2.2,1.9,4.0,2.1,1.1,0.4,38.7,1.7,100,10.8,1.2,18.2
976,Rondae Hollis-Jefferson,2017-18,0,1,F,NA,NA,4.8,0.2,3.7,6.8,2.5,1.0,0.7,49.1,4.1,108,16.9,1.9,22.2
977,Al Horford,2017-18,1,1,C,F,NA,3.8,1.3,1.3,7.4,4.7,0.6,1.1,51.4,7.8,115,17.6,2.9,18.4
978,Dwight Howard,2017-18,0,1,C,NA,NA,6.2,0.0,4.1,12.5,1.3,0.6,1.6,55.900000000000006,6.8,108,20.5,4.4,24.2
979,Serge Ibaka,2017-18,0,1,F,C,NA,3.6,1.4,1.2,6.3,0.8,0.4,1.3,55.900000000000006,5.1,109,14.7,3.8,19.4
980,Ersan İlyasova,2017-18,0,2,F,NA,NA,2.7,1.3,1.5,5.9,1.3,0.9,0.4,51.7,4.0,111,14.9,1.3,18.7
981,Joe Ingles,2017-18,0,1,F,G,NA,1.6,2.5,0.8,4.2,4.8,1.1,0.2,51.6,7.6,115,14.4,0.7,15.9
982,Brandon Ingram,2017-18,0,1,F,NA,NA,5.4,0.7,3.3,5.3,3.9,0.8,0.7,48.3,2.8,104,13.8,1.8,22.2
983,Kyrie Irving,2017-18,1,1,G,NA,NA,6.1,2.8,3.9,3.8,5.1,1.1,0.3,54.1,8.9,118,25.0,0.7,31.0
984,Jarrett Jack,2017-18,0,1,G,NA,NA,2.6,0.4,1.0,3.1,5.6,0.6,0.1,45.9,1.2,103,11.5,0.2,16.7
985,Justin Jackson,2017-18,0,1,G,F,NA,1.9,0.8,0.4,2.8,1.1,0.4,0.2,54.7,1.0,103,9.2,0.8,14.2
986,Reggie Jackson,2017-18,0,1,G,NA,NA,4.3,1.2,2.5,2.8,5.3,0.6,0.1,47.5,2.0,105,15.9,0.3,27.1
987,LeBron James,2017-18,1,1,F,G,first,8.6,1.8,4.7,8.6,9.1,1.4,0.9,60.3,14.0,118,28.6,2.0,31.6
988,James Johnson,2017-18,0,1,F,NA,NA,3.5,0.8,1.5,4.9,3.8,1.0,0.7,58.699999999999996,5.0,109,15.8,2.2,19.1
989,Stanley Johnson,2017-18,0,1,F,NA,NA,2.1,1.0,1.6,3.7,1.6,1.4,0.2,43.9,1.8,97,9.0,0.7,16.4
990,Tyler Johnson,2017-18,0,1,G,NA,NA,2.6,1.7,1.5,3.4,2.3,0.8,0.5,49.1,4.2,109,13.0,1.4,18.6
991,Wesley Johnson,2017-18,0,1,F,G,NA,1.2,0.8,0.6,2.9,0.8,1.0,0.8,47.099999999999994,1.7,99,9.8,3.5,13.0
992,Nikola Jokić,2017-18,0,1,C,F,NA,5.2,1.5,3.5,10.7,6.1,1.2,0.8,53.800000000000004,10.7,121,24.4,2.1,24.2
993,DeAndre Jordan,2017-18,0,1,C,NA,NA,4.8,0.0,2.4,15.2,1.5,0.5,0.9,64.5,9.4,125,20.2,2.4,15.2
994,Enes Freedom,2017-18,0,1,C,NA,NA,5.9,0.0,2.2,11.0,1.5,0.5,0.5,59.4,7.6,122,24.0,1.7,21.8
995,Michael Kidd-Gilchrist,2017-18,0,1,F,NA,NA,3.8,0.0,1.6,4.1,1.0,0.7,0.4,50.5,3.3,110,12.5,1.4,16.1
996,Maxi Kleber,2017-18,0,1,F,NA,NA,1.5,0.6,0.6,3.3,0.7,0.4,0.7,61.3,2.8,117,13.4,3.5,13.7
997,Kyle Kuzma,2017-18,0,1,F,NA,NA,4.0,2.1,1.9,6.3,1.8,0.6,0.4,51.1,3.8,105,14.2,1.1,22.5
998,Courtney Lee,2017-18,0,1,G,NA,NA,3.0,1.5,1.5,2.9,2.4,1.1,0.2,48.199999999999996,3.9,112,13.0,0.6,16.9
999,Damian Lillard,2017-18,1,1,G,NA,first,5.4,3.1,6.8,4.5,6.6,1.1,0.4,50.1,12.6,120,25.2,0.8,30.6
1000,Brook Lopez,2017-18,0,1,C,NA,NA,3.5,1.5,1.5,4.0,1.7,0.4,1.3,54.900000000000006,3.8,108,16.5,4.6,23.5
1001,Robin Lopez,2017-18,0,1,C,NA,NA,5.3,0.1,1.1,4.5,1.9,0.2,0.8,53.6,1.9,106,14.7,2.8,20.4
1002,Kevin Love,2017-18,1,1,F,C,NA,3.3,2.3,4.0,9.3,1.7,0.7,0.4,49.4,6.4,120,22.4,1.2,25.1
1003,Kyle Lowry,2017-18,1,1,G,NA,NA,2.1,3.1,2.9,5.6,6.9,1.1,0.2,47.4,10.2,120,19.5,0.6,21.7
1004,Lauri Markkanen,2017-18,0,1,F,C,NA,3.4,2.1,2.1,7.5,1.2,0.6,0.6,49.7,3.3,107,15.6,1.8,21.9
1005,Jarell Martin,2017-18,0,1,F,NA,NA,2.6,0.5,1.2,4.4,1.0,0.5,0.7,47.0,1.3,101,10.5,2.8,17.1
1006,Wesley Matthews,2017-18,0,1,G,NA,NA,2.1,2.4,1.3,3.1,2.7,1.2,0.3,44.1,2.6,105,11.4,0.7,17.6
1007,CJ McCollum,2017-18,0,1,G,NA,NA,5.9,2.3,2.6,4.0,3.4,1.0,0.4,46.5,6.6,108,17.0,1.0,26.5
1008,Khris Middleton,2017-18,0,1,F,G,NA,5.5,1.8,3.9,5.2,4.0,1.5,0.3,51.7,6.9,111,17.4,0.6,24.6
1009,Paul Millsap,2017-18,0,1,F,NA,NA,4.3,1.0,2.9,6.4,2.8,1.0,1.2,50.6,2.5,109,17.0,3.2,22.0
1010,Patty Mills,2017-18,0,1,G,NA,NA,1.5,1.9,1.3,1.9,2.8,0.7,0.1,47.0,4.1,109,11.8,0.4,17.8
1011,Donovan Mitchell,2017-18,0,1,G,NA,NA,5.2,2.4,3.0,3.7,3.7,1.5,0.3,50.2,5.2,103,16.7,0.9,29.1
1012,E'Twaun Moore,2017-18,0,1,G,F,NA,3.6,1.6,0.6,2.9,2.3,1.0,0.1,55.60000000000001,4.4,111,12.1,0.4,16.1
1013,Markieff Morris,2017-18,0,1,F,NA,NA,3.5,1.0,1.4,5.6,1.9,0.8,0.5,52.900000000000006,3.3,105,13.2,1.7,19.5
1014,Dejounte Murray,2017-18,0,1,G,NA,NA,3.2,0.1,1.3,5.7,2.9,1.2,0.4,45.4,3.2,99,15.1,1.5,20.7
1015,Jamal Murray,2017-18,0,1,G,NA,NA,3.9,2.0,2.8,3.7,3.4,1.0,0.3,50.2,5.5,112,16.1,0.9,22.8
1016,Dirk Nowitzki,2017-18,0,1,F,C,NA,2.7,1.8,1.3,5.7,1.6,0.6,0.6,49.4,4.8,112,16.7,2.1,20.5
1017,Jusuf Nurkić,2017-18,0,1,C,NA,NA,6.1,0.0,2.2,9.0,1.8,0.8,1.4,50.8,4.7,102,19.2,4.3,26.4
1018,Victor Oladipo,2017-18,1,1,G,NA,third,6.4,2.1,3.9,5.2,4.3,2.4,0.8,52.800000000000004,8.2,110,23.1,2.0,30.1
1019,Zaza Pachulia,2017-18,0,1,C,NA,NA,2.2,0.0,1.1,4.7,1.6,0.6,0.2,56.699999999999996,3.3,117,17.0,1.4,17.0
1020,Chris Paul,2017-18,0,1,G,NA,NA,3.8,2.5,3.5,5.4,7.9,1.7,0.2,53.2,10.2,126,24.4,0.6,24.5
1021,Elfrid Payton,2017-18,0,2,G,NA,NA,4.7,0.5,1.7,4.3,6.2,1.3,0.3,52.0,2.8,105,16.5,1.0,21.9
1022,Otto Porter Jr.,2017-18,0,1,F,NA,NA,4.0,1.8,1.4,6.4,2.0,1.5,0.5,53.7,8.1,120,18.3,1.5,18.4
1023,Kristaps Porziņģis,2017-18,1,1,F,C,NA,6.3,1.9,4.5,6.6,1.2,0.8,2.4,45.4,3.2,105,20.4,6.4,31.0
1024,Taurean Prince,2017-18,0,1,F,NA,NA,2.9,2.1,1.9,4.7,2.6,1.0,0.5,46.1,2.0,100,12.8,1.5,22.1
1025,Julius Randle,2017-18,0,1,F,C,NA,6.0,0.1,3.7,8.0,2.6,0.5,0.5,57.49999999999999,6.6,112,19.9,1.7,25.3
1026,Zach Randolph,2017-18,0,1,F,C,NA,5.3,0.9,1.4,6.7,2.2,0.7,0.2,50.3,1.5,101,17.3,0.6,27.6
1027,JJ Redick,2017-18,0,1,G,NA,NA,3.0,2.8,2.8,2.5,3.0,0.5,0.1,50.4,6.6,119,15.9,0.2,21.7
1028,Josh Richardson,2017-18,0,1,G,NA,NA,3.4,1.6,1.5,3.5,2.9,1.5,0.9,49.5,5.4,106,13.6,2.4,18.2
1029,Austin Rivers,2017-18,0,1,G,NA,NA,3.4,2.2,1.7,2.4,4.0,1.2,0.3,46.1,2.4,105,12.6,0.6,20.6
1030,Andre Roberson,2017-18,0,1,G,F,NA,2.0,0.2,0.3,4.7,1.2,1.2,0.9,62.7,2.2,114,10.9,3.1,8.6
1031,Rajon Rondo,2017-18,0,1,G,NA,NA,2.8,0.8,0.4,4.0,8.2,1.1,0.2,52.6,3.6,109,15.3,0.5,16.9
1032,Ricky Rubio,2017-18,0,1,G,NA,NA,3.2,1.2,2.9,4.6,5.3,1.6,0.1,45.1,5.3,105,15.4,0.4,22.9
1033,Dario Šarić,2017-18,0,1,F,C,NA,3.2,2.0,2.3,6.7,2.6,0.7,0.3,50.1,6.6,113,15.8,0.7,20.9
1034,Dennis Schröder,2017-18,0,1,G,NA,NA,6.3,1.1,3.4,3.1,6.2,1.1,0.1,48.0,2.6,104,17.3,0.2,30.4
1035,Ben Simmons,2017-18,0,1,G,F,NA,6.7,0.0,2.4,8.1,8.2,1.7,0.9,55.1,9.2,111,20.0,2.1,22.3
1036,Jonathon Simmons,2017-18,0,1,G,F,NA,4.1,1.0,2.7,3.5,2.5,0.8,0.2,51.2,1.9,103,12.7,0.6,22.0
1037,Dennis Smith Jr.,2017-18,0,1,G,NA,NA,4.3,1.5,1.9,3.8,5.2,1.0,0.3,43.5,-0.7,93,12.8,0.8,28.9
1038,J.R. Smith,2017-18,0,1,G,F,NA,1.2,1.8,0.5,2.9,1.8,0.9,0.1,45.300000000000004,1.4,103,8.4,0.4,13.8
1039,Tony Snell,2017-18,0,1,G,F,NA,1.0,1.4,0.5,1.9,1.3,0.6,0.4,49.0,2.4,113,8.5,1.2,10.6
1040,Jayson Tatum,2017-18,0,1,F,NA,NA,3.7,1.3,2.7,5.0,1.6,1.0,0.7,49.2,7.1,111,15.2,2.0,19.4
1041,Jeff Teague,2017-18,0,1,G,NA,NA,3.9,1.2,2.9,3.0,7.0,1.5,0.3,47.699999999999996,4.9,111,16.4,0.9,20.6
1042,Miloš Teodosić,2017-18,0,1,G,NA,NA,1.4,2.0,0.9,2.8,4.6,0.5,0.1,49.2,1.4,107,11.6,0.4,18.2
1043,Klay Thompson,2017-18,1,1,G,F,NA,4.7,3.1,1.1,3.8,2.5,0.8,0.5,52.6,4.9,110,16.0,1.1,23.7
1044,Karl-Anthony Towns,2017-18,1,1,C,F,third,6.3,1.5,4.2,12.3,2.4,0.8,1.4,58.5,14.0,127,24.9,3.5,22.9
1045,Evan Turner,2017-18,0,1,G,NA,NA,2.7,0.5,1.2,3.1,2.2,0.6,0.4,48.5,2.6,103,9.9,1.2,15.6
1046,Myles Turner,2017-18,0,1,C,F,NA,3.8,0.9,2.5,6.4,1.3,0.6,1.8,51.9,4.7,110,16.6,5.7,20.0
1047,Tyler Ulis,2017-18,0,1,G,NA,NA,2.4,0.6,1.2,1.8,4.4,1.0,0.1,42.5,-0.2,96,10.1,0.3,18.5
1048,Jonas Valančiūnas,2017-18,0,1,C,NA,NA,4.7,0.4,2.2,8.6,1.1,0.4,0.9,58.699999999999996,7.6,120,22.5,3.2,22.7
1049,Denzel Valentine,2017-18,0,1,G,NA,NA,2.1,1.9,0.5,5.1,3.2,0.8,0.1,45.0,2.5,104,12.1,0.5,17.5
1050,Nikola Vučević,2017-18,0,1,C,NA,NA,5.9,1.1,1.4,9.2,3.4,1.0,1.1,52.7,3.6,105,19.7,3.0,25.9
1051,Kemba Walker,2017-18,1,1,G,NA,NA,4.5,2.9,4.5,3.1,5.6,1.1,0.3,46.9,8.6,115,20.6,0.7,27.4
1052,John Wall,2017-18,1,1,G,NA,NA,5.3,1.5,4.3,3.7,9.6,1.4,1.1,43.6,2.7,105,19.1,2.8,29.1
1053,T.J. Warren,2017-18,0,1,F,NA,NA,7.8,0.3,3.0,5.1,1.3,1.0,0.6,52.300000000000004,3.4,109,17.6,1.5,24.9
1054,Russell Westbrook,2017-18,1,1,G,NA,second,8.3,1.2,5.2,10.1,10.3,1.8,0.3,48.5,10.1,109,24.7,0.6,34.1
1055,Hassan Whiteside,2017-18,0,1,C,NA,NA,5.7,0.0,2.4,11.4,1.0,0.7,1.7,53.800000000000004,5.3,111,24.1,5.9,24.7
1056,Andrew Wiggins,2017-18,0,1,F,G,NA,5.6,1.4,2.5,4.4,2.0,1.1,0.6,47.5,2.1,101,13.0,1.5,23.4
1057,Marvin Williams,2017-18,0,1,F,NA,NA,1.7,1.6,1.3,4.7,1.2,0.7,0.5,51.2,5.0,118,13.9,1.6,14.8
1058,Thaddeus Young,2017-18,0,1,F,NA,NA,4.5,0.7,0.7,6.3,1.9,1.7,0.4,53.1,5.5,108,14.8,1.2,17.3
1059,Steven Adams,2016-17,0,1,C,NA,NA,4.7,0.0,2.0,7.7,1.1,1.1,1.0,57.199999999999996,6.5,114,16.5,2.6,16.2
1060,Arron Afflalo,2016-17,0,1,G,F,NA,2.0,1.0,1.4,2.0,1.3,0.3,0.1,45.7,1.4,109,8.9,0.3,14.4
1061,LaMarcus Aldridge,2016-17,0,1,F,C,NA,6.6,0.3,3.1,7.3,1.9,0.6,1.2,48.0,7.2,111,18.6,3.0,24.5
1062,Tony Allen,2016-17,0,1,G,F,NA,3.6,0.2,1.1,5.5,1.4,1.6,0.4,47.9,3.1,101,13.3,1.4,17.9
1063,Ryan Anderson,2016-17,0,1,F,NA,NA,1.7,2.8,1.8,4.6,0.9,0.4,0.2,44.6,5.2,119,13.5,0.5,17.9
1064,Giannis Antetokounmpo,2016-17,1,1,F,G,second,7.6,0.6,5.9,8.8,5.4,1.6,1.9,56.3,12.4,116,26.1,4.7,28.3
1065,Carmelo Anthony,2016-17,1,1,F,NA,NA,6.1,2.0,4.1,5.9,2.9,0.8,0.5,46.6,4.7,108,17.9,1.1,29.1
1066,Trevor Ariza,2016-17,0,1,F,NA,NA,1.7,2.4,1.2,5.7,2.2,1.8,0.3,55.60000000000001,6.0,113,12.3,0.6,14.1
1067,Luke Babbitt,2016-17,0,1,F,NA,NA,0.4,1.3,0.2,2.1,0.5,0.3,0.2,36.6,1.8,110,8.3,0.8,13.0
1068,Harrison Barnes,2016-17,0,1,F,NA,NA,6.6,1.0,3.1,5.0,1.5,0.8,0.2,49.2,4.6,106,16.3,0.5,25.3
1069,Nicolas Batum,2016-17,0,1,F,G,NA,3.4,1.8,3.2,6.2,5.9,1.1,0.4,45.300000000000004,4.6,105,15.8,1.0,22.3
1070,Kent Bazemore,2016-17,0,1,G,F,NA,2.8,1.3,1.6,3.2,2.4,1.2,0.7,44.6,2.1,97,11.6,2.3,20.5
1071,Bradley Beal,2016-17,0,1,G,NA,NA,5.4,2.9,3.7,3.1,3.5,1.1,0.3,53.800000000000004,8.5,117,20.1,0.7,26.5
1072,Patrick Beverley,2016-17,0,1,G,NA,NA,1.8,1.6,1.1,5.9,4.2,1.5,0.4,46.300000000000004,5.3,116,13.0,1.0,14.1
1073,Eric Bledsoe,2016-17,0,1,G,NA,NA,5.2,1.6,5.9,4.8,6.3,1.4,0.5,47.699999999999996,5.3,111,20.5,1.2,28.1
1074,Bojan Bogdanović,2016-17,0,2,G,F,NA,2.9,1.8,2.7,3.4,1.4,0.4,0.1,51.2,2.9,108,13.5,0.3,22.4
1075,Devin Booker,2016-17,0,1,G,NA,NA,5.9,1.9,4.7,3.2,3.4,0.9,0.3,44.7,2.0,103,14.6,0.6,28.6
1076,Trevor Booker,2016-17,0,1,F,NA,NA,3.9,0.4,1.0,8.0,1.9,1.1,0.4,54.6,3.1,105,15.7,1.2,18.7
1077,Avery Bradley,2016-17,0,1,G,NA,NA,4.6,2.0,1.2,6.1,2.2,1.2,0.2,50.4,3.1,105,14.4,0.5,21.9
1078,Jimmy Butler,2016-17,1,1,F,G,third,6.3,1.2,7.7,6.2,5.5,1.9,0.4,47.699999999999996,13.8,123,25.1,0.9,26.5
1079,Kentavious Caldwell-Pope,2016-17,0,1,G,NA,NA,2.9,2.0,2.0,3.3,2.5,1.2,0.2,44.2,4.5,107,12.8,0.4,19.2
1080,Clint Capela,2016-17,0,1,C,NA,NA,5.6,0.0,1.4,8.1,1.0,0.5,1.2,64.3,5.9,122,21.4,4.1,19.9
1081,DeMarre Carroll,2016-17,0,1,F,NA,NA,1.5,1.5,1.2,3.8,1.0,1.1,0.4,48.3,3.8,110,11.9,1.2,15.6
1082,Tyson Chandler,2016-17,0,1,C,NA,NA,3.3,0.0,1.9,11.5,0.6,0.7,0.5,67.10000000000001,4.1,129,16.6,1.5,11.2
1083,Marquese Chriss,2016-17,0,1,F,NA,NA,2.6,0.9,1.4,4.2,0.7,0.8,0.9,52.0,1.8,102,12.3,3.2,19.7
1084,Darren Collison,2016-17,0,1,G,NA,NA,3.9,1.1,2.2,2.2,4.6,1.0,0.1,49.5,3.9,113,15.3,0.4,19.8
1085,Mike Conley,2016-17,0,1,G,NA,NA,4.2,2.5,4.6,3.5,6.3,1.3,0.3,49.7,10.0,121,23.2,0.8,26.3
1086,DeMarcus Cousins,2016-17,1,2,C,F,NA,7.2,1.8,7.2,11.0,4.6,1.4,1.3,48.3,7.6,107,25.8,3.4,36.5
1087,Robert Covington,2016-17,0,1,F,C,NA,2.3,2.0,2.1,6.5,1.5,1.9,1.0,48.4,3.1,100,13.2,2.6,19.2
1088,Jae Crowder,2016-17,0,1,F,NA,NA,2.4,2.2,2.4,5.8,2.2,1.0,0.3,54.0,6.7,118,14.9,0.8,17.0
1089,Seth Curry,2016-17,0,1,G,NA,NA,2.9,2.0,1.2,2.6,2.7,1.1,0.1,52.800000000000004,4.6,113,15.5,0.3,19.5
1090,Stephen Curry,2016-17,1,1,G,NA,second,4.4,4.1,4.1,4.5,6.6,1.8,0.2,53.7,12.6,119,24.6,0.5,30.1
1091,Anthony Davis,2016-17,1,1,F,C,first,9.7,0.5,6.9,11.8,2.1,1.3,2.2,52.400000000000006,11.0,112,27.5,5.1,32.6
1092,Dewayne Dedmon,2016-17,0,1,C,NA,NA,2.1,0.0,0.9,6.5,0.6,0.5,0.8,62.2,5.2,122,16.0,3.7,12.3
1093,Matthew Dellavedova,2016-17,0,1,G,NA,NA,1.7,1.0,1.1,1.9,4.7,0.7,0.0,40.400000000000006,1.2,102,9.4,0.0,16.3
1094,Luol Deng,2016-17,0,1,F,NA,NA,2.0,0.9,0.8,5.3,1.3,0.9,0.4,43.6,0.9,101,10.1,1.1,14.2
1095,DeMar DeRozan,2016-17,1,1,G,F,third,9.3,0.4,7.4,5.2,3.9,1.1,0.2,48.4,9.0,113,24.0,0.4,34.3
1096,Gorgui Dieng,2016-17,0,1,C,NA,NA,3.9,0.2,1.7,7.9,1.9,1.1,1.2,51.1,5.7,114,14.2,3.1,14.0
1097,Goran Dragić,2016-17,0,1,G,NA,NA,5.7,1.6,4.1,3.8,5.8,1.2,0.2,49.9,7.5,112,19.8,0.4,27.1
1098,Andre Drummond,2016-17,0,1,C,NA,NA,5.9,0.0,1.7,13.8,1.1,1.5,1.1,53.2,6.7,104,20.9,3.1,22.4
1099,Kevin Durant,2016-17,1,1,F,G,second,7.0,1.9,5.4,8.3,4.8,1.1,1.6,60.8,12.0,125,27.6,3.8,27.8
1100,Derrick Favors,2016-17,0,1,F,C,NA,4.0,0.1,1.3,6.1,1.1,0.9,0.8,49.1,2.7,104,15.8,2.7,20.7
1101,Evan Fournier,2016-17,0,1,G,F,NA,4.1,1.9,3.3,3.1,3.0,1.0,0.1,49.1,2.8,106,13.9,0.1,23.5
1102,Randy Foye,2016-17,0,1,G,NA,NA,0.7,1.0,0.8,2.2,2.0,0.5,0.1,41.8,0.2,95,7.3,0.5,14.4
1103,Danilo Gallinari,2016-17,0,1,F,NA,NA,3.3,2.0,5.5,5.2,2.1,0.6,0.2,49.1,6.8,126,17.4,0.5,20.0
1104,Marc Gasol,2016-17,1,1,C,NA,NA,5.8,1.4,3.8,6.3,4.6,0.9,1.3,48.0,7.7,111,20.3,3.7,26.4
1105,Pau Gasol,2016-17,0,1,C,F,NA,3.9,0.9,2.0,7.8,2.3,0.4,1.1,49.4,6.4,116,20.2,3.5,21.3
1106,Paul George,2016-17,1,1,F,G,NA,5.7,2.6,4.5,6.6,3.3,1.6,0.4,50.1,7.1,109,20.2,0.9,28.9
1107,Taj Gibson,2016-17,0,2,F,C,NA,4.6,0.0,1.4,6.2,0.9,0.5,0.8,52.0,4.0,107,15.0,2.6,19.3
1108,Rudy Gobert,2016-17,0,1,C,NA,second,5.1,0.0,3.8,12.8,1.2,0.6,2.6,66.2,14.3,129,23.3,6.4,16.7
1109,Aaron Gordon,2016-17,0,1,F,NA,NA,4.0,1.0,2.0,5.1,1.9,0.8,0.5,52.800000000000004,3.7,107,14.5,1.4,20.1
1110,Marcin Gortat,2016-17,0,1,C,F,NA,4.8,0.0,1.3,10.4,1.5,0.5,0.7,57.99999999999999,6.8,117,15.4,2.0,14.7
1111,Danny Green,2016-17,0,1,G,F,NA,0.9,1.7,0.4,3.3,1.8,1.0,0.8,42.0,3.4,103,10.1,2.6,13.5
1112,Draymond Green,2016-17,1,1,F,NA,third,2.5,1.1,2.0,7.9,7.0,2.0,1.4,49.4,8.2,111,16.5,3.4,16.2
1113,JaMychal Green,2016-17,0,1,F,NA,NA,2.5,0.7,1.7,7.1,1.1,0.6,0.4,54.900000000000006,5.8,117,13.5,1.5,14.4
1114,Blake Griffin,2016-17,0,1,F,C,NA,7.2,0.6,5.2,8.1,4.9,0.9,0.4,51.4,7.7,115,22.6,0.9,28.0
1115,James Harden,2016-17,1,1,G,NA,first,5.1,3.2,9.2,8.1,11.2,1.5,0.5,53.0,15.0,118,27.4,1.0,34.2
1116,Maurice Harkless,2016-17,0,1,F,G,NA,3.2,0.9,1.0,4.4,1.1,1.1,0.9,57.199999999999996,4.2,112,13.1,2.5,15.2
1117,Gary Harris,2016-17,0,1,G,NA,NA,3.7,1.9,1.8,3.1,2.9,1.2,0.1,55.800000000000004,4.6,121,16.5,0.3,18.4
1118,Tobias Harris,2016-17,0,1,F,NA,NA,4.9,1.3,2.3,5.1,1.7,0.7,0.5,53.7,6.8,113,16.9,1.3,21.7
1119,Gordon Hayward,2016-17,1,1,F,G,NA,5.4,2.0,5.0,5.4,3.5,1.0,0.3,50.6,10.4,118,22.2,0.6,27.6
1120,Gerald Henderson,2016-17,0,1,G,NA,NA,2.4,0.8,1.8,2.6,1.6,0.6,0.2,45.5,2.0,106,10.8,0.7,17.9
1121,John Henson,2016-17,0,1,C,F,NA,2.7,0.0,1.3,5.1,1.0,0.5,1.3,51.6,2.7,110,15.3,6.1,16.6
1122,Buddy Hield,2016-17,0,2,G,F,NA,2.2,1.8,0.8,3.3,1.5,0.5,0.1,46.1,1.3,100,11.8,0.4,21.3
1123,George Hill,2016-17,0,1,G,NA,NA,4.0,1.9,3.2,3.4,4.2,1.0,0.2,52.300000000000004,5.9,119,19.3,0.6,23.5
1124,Solomon Hill,2016-17,0,1,F,NA,NA,1.1,1.2,1.3,3.8,1.8,0.9,0.4,42.8,2.7,103,8.0,1.1,11.5
