season,first_team,second_team,third_team
2010-11,Kevin Durant,Pau Gasol,LaMarcus Aldridge
2010-11,LeBron James,Dirk Nowitzki,Zach Randolph
2010-11,Dwight Howard,Amar'e Stoudemire,Al Horford
2010-11,Kobe Bryant,Dwyane Wade,Manu Ginóbili
2010-11,Derrick Rose,Russell Westbrook,Chris Paul
2011-12,LeBron James,Kevin Love,Carmelo Anthony
2011-12,Kevin Durant,Blake Griffin,Dirk Nowitzki
2011-12,Dwight Howard,Andrew Bynum,Tyson Chandler
2011-12,Kobe Bryant,Tony Parker,Dwyane Wade
2011-12,Chris Paul,Russell Westbrook,Rajon Rondo
2012-13,LeBron James,Carmelo Anthony,David Lee
2012-13,Kevin Durant,Blake Griffin,Paul George
2012-13,Tim Duncan,Marc Gasol,Dwight Howard
2012-13,Kobe Bryant,Tony Parker,Dwyane Wade
2012-13,Chris Paul,Russell Westbrook,James Harden
2013-14,Kevin Durant,Blake Griffin,Paul George
2013-14,LeBron James,Kevin Love,LaMarcus Aldridge
2013-14,Joakim Noah,Dwight Howard,Al Jefferson
2013-14,James Harden,Stephen Curry,Goran Dragić
2013-14,Chris Paul,Tony Parker,Damian Lillard
2014-15,LeBron James,LaMarcus Aldridge,Blake Griffin
2014-15,Anthony Davis,Pau Gasol,Tim Duncan
2014-15,Marc Gasol,DeMarcus Cousins,DeAndre Jordan
2014-15,James Harden,Russell Westbrook,Klay Thompson
2014-15,Stephen Curry,Chris Paul,Kyrie Irving
2015-16,Kawhi Leonard,Kevin Durant,Paul George
2015-16,LeBron James,Draymond Green,LaMarcus Aldridge
2015-16,DeAndre Jordan,DeMarcus Cousins,Andre Drummond
2015-16,Stephen Curry,Damian Lillard,Klay Thompson
2015-16,Russell Westbrook,Chris Paul,Kyle Lowry
2016-17,Kawhi Leonard,Kevin Durant,Jimmy Butler
2016-17,LeBron James,Giannis Antetokounmpo,Draymond Green
2016-17,Anthony Davis,Rudy Gobert,DeAndre Jordan
2016-17,James Harden,Stephen Curry,John Wall
2016-17,Russell Westbrook,Isaiah Thomas,DeMar DeRozan
2017-18,Kevin Durant,LaMarcus Aldridge,Jimmy Butler
2017-18,LeBron James,Giannis Antetokounmpo,Paul George
2017-18,Anthony Davis,Joel Embiid,Karl-Anthony Towns
2017-18,James Harden,DeMar DeRozan,Victor Oladipo
2017-18,Damian Lillard,Russell Westbrook,Stephen Curry
2018-19,Giannis Antetokounmpo,Kevin Durant,Blake Griffin
2018-19,Paul George,Kawhi Leonard,LeBron James
2018-19,Nikola Jokić,Joel Embiid,Rudy Gobert
2018-19,James Harden,Damian Lillard,Russell Westbrook
2018-19,Stephen Curry,Kyrie Irving,Kemba Walker
2019-20,LeBron James,Kawhi Leonard,Jimmy Butler
2019-20,Giannis Antetokounmpo,Pascal Siakam,Jayson Tatum
2019-20,Anthony Davis,Nikola Jokić,Rudy Gobert
2019-20,James Harden,Damian Lillard,Ben Simmons
2019-20,Luka Dončić,Chris Paul,Russell Westbrook
2020-21,Giannis Antetokounmpo,LeBron James,Jimmy Butler
2020-21,Kawhi Leonard,Julius Randle,Paul George
2020-21,Nikola Jokić,Joel Embiid,Rudy Gobert
2020-21,Stephen Curry,Damian Lillard,Bradley Beal
2020-21,Luka Dončić,Chris Paul,Kyrie Irving
2021-22,Giannis Antetokounmpo,DeMar DeRozan,LeBron James
2021-22,Jayson Tatum,Kevin Durant,Pascal Siakam
2021-22,Nikola Jokić,Joel Embiid,Karl-Anthony Towns
2021-22,Devin Booker,Stephen Curry,Chris Paul
2021-22,Luka Dončić,Ja Morant,Trae Young
2022-23,Giannis Antetokounmpo,Jimmy Butler,LeBron James
2022-23,Jayson Tatum,Jaylen Brown,Julius Randle
2022-23,Joel Embiid,Nikola Jokić,Domantas Sabonis
2022-23,Luka Dončić,Stephen Curry,De'Aaron Fox
2022-23,Shai Gilgeous-Alexander,Donovan Mitchell,Damian Lillard
